¤¸,Anim Name,Hit Reaction Anim,Attach Bone,Damage,Range,Hit Box Size,Combo,RePulse Count,Dir,Skill Type  ,Properity
522,M_StatueA_Slash,None,None,10,6,"1,1,2",1,0,4,0,9
523,M_StatueA_RushSlash,None,None,10,15,"1,1,2",1,0,4,0,9
524,M_StatueA_SlashDouble,None,None,10,10,"1,1,2",2,0,4,0,9
525,M_StatueA_StanbyToAttack_01,None,None,10,7,"1,1,2",1,0,4,4,9
526,M_StatueA_GrabSuccess,Hit_StatueA_Grab,SC_LinkTarget,10,0,"1,1,2",1,0,4,0,9
531,M_StatueB_GroundExplosion,None,None,20,10,"1,1,2",1,0,4,0,9
532,M_StatueB_Slash,None,None,15,6,"1,1,2",1,0,4,0,9
533,M_StatueB_RushSlash,None,None,15,15,"1,1,2",1,0,4,0,9
534,M_StatueB_SlashDouble,None,None,15,6,"1,1,2",2,0,4,0,9
535,M_StatueB_SlashTriple,None,None,15,6,"1,1,2",3,0,4,0,9
536,M_StatueB_StanbyToAttack_01,None,None,15,7,"1,1,2",1,0,4,4,9
541,M_BarnacleA_PunchAttack,None,None,13,7,"1,1,2",1,0,4,0,9
542,M_BarnacleA_TraceAttack,None,None,13,7,"1,1,2",1,0,4,0,9
543,M_BarnacleA_ComboAttack,None,None,13,7,"1,1,2",3,0,4,0,9
544,M_BarnacleA_Shield,None,None,10,10,"1,1,2",0,0,4,0,32
631,M_SunFlower_Swing,None,None,10,7,"1,1,3",1,0,4,0,9
632,M_SunFlower_SwingChain,None,None,10,7,"1,1,3",4,0,4,0,9
633,M_SunFlower_Spit,None,None,10,20,"1,1,2",1,0,4,0,9
731,M_Antlion_PawAttack,None,None,10,7,"1,1,7",1,0,0,0,9
732,M_AntlionC_SwingTriple,None,None,10,7,"1,1,7",3,0,0,0,9
741,M_Tentacle_Summoned,None,None,10,11,"1,1,7",3,0,0,4,9
742,M_Tentacle_Swing,None,None,10,11,"1,1,7",3,0,0,0,9
743,M_Tentacle_Stamp,None,None,10,11,"1,1,7",3,0,0,0,9
751,M_DroidTurret_Shot,None,None,15,30,"1,1,7",3,0,0,0,9
752,M_DroidTurret_ShotDebuff,None,None,20,30,"1,1,7",3,0,0,0,10
753,M_DroidTurret_ShotDozen,None,None,15,30,"1,1,7",3,0,0,0,9
754,M_DroidTurret_Laser,None,None,30,30,"1,1,7",3,0,0,0,10
1000,Player_Light_Attack_Root1,None,None,15,3,"2,2,2",0,0,0,0,0
1001,Player_Light_Attack_Root2,None,None,15,3,"2,2,2",0,0,1,0,0
1002,Player_Light_Attack_Root3,None,None,15,3,"2,2,2",0,0,1,0,0
1003,Player_Light_Attack_Root4,None,None,30,3,"2,2,2",0,0,0,0,0
1004,Player_Beta_Skill,None,None,15,4,"2,2,3",0,0,0,2,0
1005,Player_Beta_Skill,None,None,30,3,"1,1,2",0,0,4,2,0
1006,P_Eve_Sword_SlotNormal_ChainStab,None,None,100,7,"3,3,5",0,0,4,2,0
1007,P_Eve_Sword_Beta_ChargeSlash1_Ex,None,None,150,7,"8,6,8",0,0,4,2,0
1008,Player_Parry,Result_Hit_JustParry,None,30,7,"8,6,8",0,0,4,0,64
1009,Player_Parry,Result_Hit_JustParry2,None,30,7,"8,6,8",0,0,4,0,64
1010,StartExcution,Hit_Sword_Normal_LinkAttack1,None,0,7,"8,6,8",0,0,4,0,16
1011,EndExcution,M_Finish_DeadLink,None,30,7,"8,6,8",0,0,4,0,16
2000,P_Eve_Sword_Normal_MoveBackAttack1_E,None,None,30,3,"2,2,2",0,0,1,6,0
2001,P_Eve_Sword_SlotNormal_PushBackAttackRangeReady1_1,Result_State_Groggy_S,None,30,3,"2,2,2",0,0,1,7,0
